id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,rater4
20001,2001,1,box,hat,1,1,1,1
20002,2001,1,box,sound amplifier,3,3,2,3
20003,2001,1,box,flowerbed liner,2,3,2,3
20004,2001,1,box,peg board for painting hardware,1,4,3,3
20005,2001,1,box,pain canvas,1,1,2,2
20006,2001,1,box,cat carrier,1,1,1,1
20007,2002,1,box,gift,1,1,1,1
20008,2002,1,box,desk,1,1,1,2
20009,2002,1,box,mailbox,2,1,1,2
20010,2002,1,box,cage,1,1,1,1
20011,2002,1,box,container,1,1,1,1
20012,2002,1,box,pet,1,1,2,1
20013,2002,1,box,house if large enough,1,1,1,1
20014,2002,1,box,tear into strip and intertwine to make,3,4,3,4
20015,2002,1,box,fill with dirt to make a brick or weigh,2,1,2,3
20016,2002,1,box,doll,1,1,2,2
20017,2002,1,box,sign,1,1,1,2
20018,2002,1,box,breakdancing platform,1,2,2,3
20019,2002,1,box,plant holder,2,2,2,2
20020,2002,1,box,firewood,1,2,2,2
20021,2002,1,box,puppy holder,1,1,1,1
20022,2002,1,box,soapbox derby car,2,3,1,4
20023,2002,1,box,fruit bowl,2,2,2,2
20024,2002,1,box,props in a play,1,2,2,3
20025,2002,1,box,picture frame,2,2,2,3
20026,2003,1,box,paper,1,1,1,2
20027,2003,1,box,Storage,1,1,1,1
20028,2003,1,box,Fort,1,1,1,1
20029,2003,1,box,Trap,2,1,2,2
20030,2003,1,box,House,1,1,1,1
20031,2003,1,box,Car,1,1,1,2
20032,2003,1,box,Art,1,1,1,1
20033,2003,1,box,Helmet,1,1,2,2
20034,2003,1,box,Lift,1,1,1,1
20035,2003,1,box,Zoo,2,3,2,2
20036,2003,1,box,Weapon,1,1,1,1
20037,2003,1,box,Aquarium,3,2,2,3
20038,2003,1,box,Armor,1,1,2,2
20039,2003,1,box,Sled,1,1,1,1
20040,2003,1,box,Pail,1,1,1,2
20041,2003,1,box,Pads,3,2,1,2
20042,2003,1,box,Boat,1,1,1,2
20043,2003,1,box,Shovel,1,2,2,3
20044,2003,1,box,Stacking,1,1,1,1
20045,2003,1,box,Shield,1,1,2,2
20046,2003,1,box,Water Bottle,2,2,2,2
20047,2003,1,box,Shipping tool,1,1,1,1
20048,2004,1,box,use several of them and make a robot costume,2,1,2,2
20049,2004,1,box,get several of them and make a play house,1,1,1,1
20050,2004,1,box,turn it into an astronauts helmet,2,3,2,3
20051,2004,1,box,have tiny and turn them into flower pots,2,2,2,2
20052,2004,1,box,poke holes and stick a light in it and use it as a disco,4,4,3,4
20053,2004,1,box,use it as a chair,1,1,1,1
20054,2005,1,box,toy,1,1,1,1
20055,2005,1,box,hat,1,1,1,1
20056,2005,1,box,storage,1,1,1,1
20057,2005,1,box,shade,2,2,2,2
20058,2005,1,box,umbrella,1,1,1,2
20059,2005,1,box,shield,1,1,2,2
20060,2005,1,box,playpen,1,1,1,2
20061,2006,1,box,table,1,1,1,1
20062,2006,1,box,shoes,1,1,1,1
20063,2006,1,box,fort,1,1,1,1
20064,2006,1,box,props,1,2,2,3
20065,2006,1,box,stairs,1,1,2,1
20066,2006,1,box,armor,1,1,2,2
20067,2006,1,box,Raft,2,2,1,2
20068,2006,1,box,dumb waiter,1,5,3,3
20069,2006,1,box,umbrella,1,1,1,2
20070,2006,1,box,giant dice,3,3,3,3
20071,2007,1,box,hat,1,1,1,1
20072,2007,1,box,home if it is big enough,1,1,1,1
20073,2007,1,box,drawer,2,1,1,2
20074,2007,1,box,seat,1,1,1,1
20075,2007,1,box,shelf,2,1,1,2
20076,2007,1,box,to block,1,1,1,1
20077,2007,1,box,costume,1,1,1,2
20078,2007,1,box,tunnel,2,1,2,2
20079,2007,1,box,foot stool,1,1,1,1
20080,2007,1,box,go cart,1,1,1,3
20081,2007,1,box,side table,1,1,1,1
20082,2007,1,box,play toy,1,1,1,2
20083,2007,1,box,bird house,3,1,2,3
20084,2007,1,box,dog house,1,1,1,1
20085,2007,1,box,burning material,1,2,2,2
20086,2007,1,box,garbage can,1,1,1,1
20087,2008,1,box,toss like a ball,1,1,2,1
20088,2008,1,box,hat,1,1,1,1
20089,2008,1,box,drum,1,2,2,3
20090,2008,1,box,seat,1,1,1,1
20091,2008,1,box,diorama,2,3,2,3
20092,2008,1,box,music amplifier,3,3,2,3
20093,2008,1,box,balance beam,2,3,2,2
20094,2008,1,box,stepping stool,1,1,1,1
20095,2008,1,box,TV stand,2,1,1,2
20096,2008,1,box,cut up and use as a dancefloor,1,2,2,3
20097,2010,1,box,Table,1,1,1,1
